"group_id","artifact_id","desc","tags"
"org.hibernate","hibernate-core","Hibernate ORM 6.0.0.Alpha6 release. See http://hibernate.org/orm/releases/6.0","hibernate=persistence=relational=mapping"
"org.aspectj","aspectjrt","The runtime needed to execute a program using AspectJ","aspect=aop"
"org.hibernate","hibernate-validator","Hibernate Validator Engine Relocation Artifact","hibernate=persistence=validation"
"org.apache.maven","maven-plugin-api","The API for plugins - Mojos - development.","plugin=model=build=build-system=maven=apache=api"
"org.springframework","spring-tx","Spring Transaction","spring=transaction"
"org.hibernate","hibernate-entitymanager","Hibernate ORM 6.0.0.Alpha6 release. See http://hibernate.org/orm/releases/6.0","hibernate=persistence=jpa"
"org.scalatest","scalatest_2.12","scalatest","scala=testing"
"org.slf4j","slf4j-simple","SLF4J Simple binding","logging=slf4j"
"org.springframework","spring-orm","Spring Object/Relational Mapping","persistence=spring=mapping=orm=relational"
"org.apache.httpcomponents","httpcore","Apache HttpComponents Core (blocking I/O)","http=apache=client"
"mysql","mysql-connector-java","JDBC Type 4 driver for MySQL","mysql=database=connector=driver"
"org.spockframework","spock-core","Spock is a testing and specification framework for Java and Groovy applications.What makes it stand out from the crowd is its beautiful and highly expressive specification language.Thanks to its JUnit runner, Spock is compatible with most IDEs, build tools, and continuous integration servers.Spock is inspired from JUnit, jMock, RSpec, Groovy, Scala, Vulcans, and other fascinating life forms.","testing"
"org.springframework","spring-context-support","Spring Context Support","support=spring"
"com.google.inject","guice","Google Guice Core Library","google=dependency-injection"
"dom4j","dom4j","dom4j: the flexible XML framework for Java","dom=xml"
"org.json","json","JSON is a light-weight, language independent, data interchange format.See http://www.JSON.org/The files in this package implement JSON encoders/decoders in Java.It also includes the capability to convert between JSON and XML, HTTPheaders, Cookies, and CDL.This is a reference implementation. There is a large number of JSON packagesin Java. Perhaps someday the Java community will standardize on one. Untilthen, choose carefully.The license includes this restriction: "The software ...","json"
"org.assertj","assertj-core","Rich and fluent assertions for testing for Java","assertion=quality"
"org.osgi","org.osgi.core","OSGi Core Release 6, Interfaces and Classes for use in compiling bundles.","osgi"
"ch.qos.logback","logback-core","logback-core module","logging"
"org.springframework","spring-expression","Spring Expression Language (SpEL)","spring=expression=language"
"com.typesafe","config","configuration library for JVM languages using HOCON files","typesafe=config"
"org.apache.logging.log4j","log4j-jcl","The Apache Log4j Commons Logging Adapter","logging=apache=bridge"
"org.scalatest","scalatest_2.10","scalatest","scala=testing"
"org.scala-lang","scala-compiler","Compiler for the Scala Programming Language","compiler=scala"
"org.hamcrest","hamcrest-library","A library of Hamcrest matchers - deprecated, please use "hamcrest" instead","matching=library=testing"
"org.apache.commons","commons-collections4","The Apache Commons Collections package contains types that extend and augment the Java Collections Framework.","collections=apache=commons=structures"
"commons-validator","commons-validator","Apache Commons Validator provides the building blocks for both client side validation and server side data validation.It may be used standalone or with a framework like Struts.","validation"
"com.lmax","disruptor","Disruptor - Concurrent Programming Framework","disruptor=concurrency"
"org.eclipse.jetty","jetty-server","The core jetty server artifact.","server=eclipse=webserver=web=jetty"
"org.skyscreamer","jsonassert","A library to develop RESTful but flexible APIs",""
"org.powermock","powermock-module-junit4","PowerMock support module for JUnit 4.x.","module=mock=mocking=junit=testing"
"org.slf4j","log4j-over-slf4j","Log4j implemented over SLF4J","logging=slf4j=bridge"
"commons-jexl","commons-jexl","Jexl is an implementation of the JSTL Expression Language with extensions.",""
"org.codehaus.jackson","jackson-mapper-asl","Data Mapper package is a high-performance data binding packagebuilt on Jackson JSON processor","mapping=codehaus=json"
"commons-configuration","commons-configuration","Tools to assist in the reading of configuration/preferences files in various formats.","config"
"org.springframework.boot","spring-boot-starter-test","Starter for testing Spring Boot applications with libraries including JUnit, Hamcrest and Mockito","testing=spring=starter"
"io.dropwizard.metrics","metrics-core","Metrics is a Java library which gives you unparalleled insight into what your code does inproduction. Metrics provides a powerful toolkit of ways to measure the behavior of criticalcomponents in your production environment.","monitoring=management=metrics=io=performance"
"com.novocode","junit-interface","An implementation of sbt's test interface for JUnit 4","testing=junit=interface"
"cglib","cglib-nodep","CGLib Nodep","bytecode"
"org.apache.maven","maven-core","Maven Core classes.","tools=build=build-system=maven=apache"
"org.codehaus.plexus","plexus-utils","A collection of various utility classes to ease working with strings, files, command lines, XML andmore.","codehaus"
"com.fasterxml.jackson.dataformat","jackson-dataformat-yaml","Support for reading and writing YAML-encoded data via Jackson abstractions.","yaml=json"
"org.hamcrest","hamcrest-core","Core Hamcrest API - deprecated, please use "hamcrest" instead","matching=testing"
"org.jooq","jool","jOOλ is part of the jOOQ series (along with jOOQ, jOOX, jOOR, jOOU) providing some useful extensions to Java 8 lambdas.",""
"org.apache.logging.log4j","log4j-web","The Apache Log4j support for web servlet containers","logging=web=apache"
"com.fasterxml.jackson.datatype","jackson-datatype-jsr310","Add-on module to support JSR-310 (Java 8 Date & Time API) data types.","json"
"org.apereo.inspektr","inspektr-audit","Inspektr Auditing",""
"com.zaxxer","HikariCP","Ultimate JDBC Connection Pool","jdbc=pool"
"org.scalacheck","scalacheck_2.11","scalacheck","scala=testing"
"org.apereo.inspektr","inspektr-support-spring","Inspektr Spring Support","support=spring"
"org.projectlombok","lombok","Spice up your java: Automatic Resource Management, automatic generation of getters, setters, equals, hashCode and toString, and more!",""
"org.quartz-scheduler","quartz","Enterprise Job Scheduler","scheduling"
"commons-httpclient","commons-httpclient","The HttpClient component supports the client-side of RFC 1945 (HTTP/1.0) and RFC 2616 (HTTP/1.1) , several related specifications (RFC 2109 (Cookies) , RFC 2617 (HTTP Authentication) , etc.), and provides a framework by which new request types (methods) or HTTP extensions can be created easily.","http=client"
"org.powermock","powermock-api-mockito","PowerMock API for Mockito 1.+..","mock=api=mocking=testing"
"org.easymock","easymock","EasyMock provides an easy way to create Mock Objects for interfaces and classes generating them on the fly","mocking=testing"
"org.springframework","spring-jms","Spring JMS","jms=queue=spring=client=message"
"org.springframework.data","spring-data-commons","Spring Data Core","data=spring"
"org.springframework.webflow","spring-webflow","Spring Web Flow","spring=web=framework"
"org.ow2.asm","asm","ASM, a very small and fast Java bytecode manipulation framework","bytecode"
"org.codehaus.groovy","groovy-all","Groovy: A powerful, dynamic language for the JVM","groovy=codehaus=jvm=language"
"cglib","cglib","CGLib","bytecode"
"org.apache.maven.plugin-tools","maven-plugin-annotations","Java annotations to use in Mojos","plugin=tools=build=build-system=annotations=maven=apache"
"org.springmodules","spring-modules-cache","Spring Modules Cache","spring=cache=module"
"org.springframework.boot","spring-boot-starter-web","Starter for building web, including RESTful, applications using Spring MVC. Uses Tomcat as the default embedded container","spring=web=starter"
"javax.inject","javax.inject","The javax.inject API","dependency-injection=javax=specs=standard"
"javax.el","javax.el-api","Expression Language 3.0 API","standard=javax=language=expression=api=specs"
"commons-pool","commons-pool","Commons Object Pooling Library","pooling"
"com.fasterxml.jackson.datatype","jackson-datatype-guava","Add-on datatype-support module for Jackson (https://github.com/FasterXML/jackson) that handlesGuava (http://code.google.com/p/guava-libraries/) types (currently mostly just collection ones)","json"
"org.springframework.data","spring-data-mongodb","MongoDB support for Spring Data","database=data=nosql=spring=client=mongodb"
"org.springframework.webflow","spring-binding","Spring Binding","binding=spring"
"com.github.fakemongo","fongo","Fake in-memory mongo","github"
"com.github.lalyos","jfiglet","Java implementation of FIGfonts (http://www.figlet.org/) to create ascii art banners","github"
"org.apache.maven","maven-artifact","Maven Artifact","model=build=build-system=maven=apache"
"org.spockframework","spock-spring","Spock's Spring Module makes it possible to use Spring's TestContext framework together with Spock. Supports Spring 2.5.x, 3.x, and 4.x.","spring=testing"
"org.apache.commons","commons-math3","The Apache Commons Math project is a library of lightweight, self-contained mathematics and statistics components addressing the most common practical problems not immediately available in the Java programming language or commons-lang.","math=apache=commons"
"org.apache.maven","maven-project","This library is used to not only read Maven project object model files, but to assemble inheritenceand to retrieve remote models as required.","model=build=build-system=maven=apache"
"commons-fileupload","commons-fileupload","The Apache Commons FileUpload component provides a simple yet flexible means of adding support for multipartfile upload functionality to servlets and web applications.","upload"
"org.eclipse.jetty","jetty-servlet","Jetty Servlet Container","server=eclipse=servlet=webserver=jetty"
"org.springframework","spring-messaging","Spring Messaging","queue=messaging=spring=client=message"
"org.springframework.boot","spring-boot","Spring Boot","spring"
"org.springframework.boot","spring-boot-autoconfigure","Spring Boot AutoConfigure","config=spring"
"org.apereo","spring-webflow-client-repo","Flow execution storage on client via form/request parameter.","spring=client=repository"
"org.apache.commons","commons-pool2","The Apache Commons Object Pooling Library.","apache=pooling=commons"
"org.apache.derby","derby","Contains the core Apache Derby database engine, which also includes the embedded JDBC driver.","apache=database=embedded=sql"
"javax.ws.rs","javax.ws.rs-api","Java API for RESTful Web Services","api=javax=specs=standard"
"javax.mail","mail","JavaMail API (compat)","mail=javax=specs=standard"
"de.flapdoodle.embed","de.flapdoodle.embed.memcached","A embedded memcache ...","embedded=memcached"
"org.joda","joda-convert","Library to convert Objects to and from String",""
"org.apache.maven","maven-model","Model for Maven POM (Project Object Model)","model=build=build-system=maven=apache"
"org.glassfish.web","el-impl","Expression Language Implementation","web=expression=language"
"org.springframework.boot","spring-boot-starter-actuator","Starter for using Spring Boot's Actuator which provides production ready features to help you monitor and manage your application","spring=starter"
"xerces","xercesImpl","Xerces2 is the next generation of high performance, fully compliant XML parsers in the Apache Xerces family. This new version of Xerces introduces the Xerces Native Interface (XNI), a complete framework for building parser components and configurations that is extremely modular and easy to program.The Apache Xerces2 parser is the reference implementation of XNI but other parser components, configurations, and parsers can be written using the Xerces Native Interface. For complete design and ...","parser=xml"
"javax.servlet","jstl","JSTL","servlet=javax=specs=standard"
"commons-dbcp","commons-dbcp","Commons Database Connection Pooling","pooling=jdbc=pool"
"org.springframework.boot","spring-boot-actuator","Spring Boot Actuator","spring"
"org.springframework.cloud","spring-cloud-context","Spring Cloud Context","spring=cloud"
"org.apache.commons","commons-compress","Apache Commons Compress software defines an API for working withcompression and archive formats. These include: bzip2, gzip, pack200,lzma, xz, Snappy, traditional Unix Compress, DEFLATE, DEFLATE64, LZ4,Brotli, Zstandard and ar, cpio, jar, tar, zip, dump, 7z, arj.","apache=compression=commons"
"xml-apis","xml-apis","XML APIs","xml=api"
"io.netty","netty","Netty/All In One","network=socket=framework=netty=io"
"org.hjson","hjson","Hjson, the Human JSON",""
"org.codehaus.jackson","jackson-core-asl","Jackson is a high-performance JSON processor (parser, generator)","codehaus=json"
"org.springframework.cloud","spring-cloud-commons","Spring Cloud Commons","spring=cloud"
"org.eclipse.jetty","jetty-webapp","Jetty web application support","server=eclipse=webserver=webapp=jetty"
"org.springframework.boot","spring-boot-starter-mail","Starter for using Java Mail and Spring Framework's email sending support","spring=mail=starter"
"javax.transaction","jta","The javax.transaction package. It is appropriate for inclusion in a classpath, and may be added to a Java 2 installation.","transaction=javax=specs=standard"
"org.apache.commons","commons-text","Apache Commons Text is a library focused on algorithms working on strings.","text=apache=commons"
"org.scoverage","scalac-scoverage-plugin_2.11","scalac-scoverage-plugin","plugin=code-coverage=coverage=analysis"
"org.apache.ant","ant","Apache Ant Core","apache=ant=build=tools"
"org.apache.commons","commons-configuration2","Tools to assist in the reading of configuration/preferences files invarious formats","apache=config=commons"
"org.scoverage","scalac-scoverage-runtime_2.11","scalac-scoverage-runtime","code-coverage=runtime=coverage=analysis"
"org.scalacheck","scalacheck_2.12","scalacheck","scala=testing"
"com.fasterxml.jackson.jaxrs","jackson-jaxrs-json-provider","Functionality to handle JSON input/output for JAX-RS implementations (like Jersey and RESTeasy) using standard Jackson data binding.","provider=json=rest=jaxrs"
"com.github.kstyrc","embedded-redis","Redis embedded server for Java integration testing","embedded=github=redis=database"
"org.apereo.service.persondir","person-directory-impl","Provides implementations of the Person Directory API that have the capability of aggregating attributes from multiple data sources into a single view.","service=directory"
"org.postgresql","postgresql","PostgreSQL JDBC Driver Postgresql","database=postgresql=driver"
"org.hibernate","hibernate-hikaricp","Hibernate ORM 6.0.0.Alpha6 release. See http://hibernate.org/orm/releases/6.0","hibernate=persistence"
"org.springframework.boot","spring-boot-devtools","Spring Boot Developer Tools","spring"
"org.apache.hadoop","hadoop-common","Apache Hadoop Common","hadoop=apache"
"org.springframework.boot","spring-boot-starter-websocket","Starter for building WebSocket applications using Spring Framework's WebSocket support","websocket=spring=starter"
"com.google.protobuf","protobuf-java","Core Protocol Buffers library. Protocol Buffers are a way of encoding structured data in anefficient yet extensible format.","google=protocol=serialization"
"javax.xml.bind","jaxb-api","JAXB API","binding=standard=javax=xml=api=specs"
"org.apache.httpcomponents","httpmime","Apache HttpComponents HttpClient - MIME coded entities","apache=mime"
"com.typesafe.akka","akka-actor_2.11","Akka is a toolkit for building highly concurrent, distributed, and resilient message-driven applications for Java and Scala.","actor=akka=distributed=concurrency=typesafe"
"org.glassfish.jersey.core","jersey-server","Jersey core server implementation","server=webservice"
"javax.portlet","portlet-api","The Java Portlet API version 3.0 developed by the Java Community Process JSR-362 Expert Group.","standard=portlet=javax=api=specs"
"com.typesafe.akka","akka-testkit_2.11","Akka is a toolkit for building highly concurrent, distributed, and resilient message-driven applications for Java and Scala.","actor=akka=testing=distributed=concurrency=typesafe"
"com.thoughtworks.xstream","xstream","XStream Core","xml"
"org.mongodb","mongo-java-driver","The MongoDB Java Driver uber-artifact, containing the legacy driver, the mongodb-driver, mongodb-driver-core, and bson","database=nosql=driver=client=mongodb"
"org.osgi","org.osgi.compendium","OSGi Compendium Release 5, Interfaces and Classes for use in compiling bundles.","osgi"
"org.apache.velocity","velocity","Apache Velocity is a general purpose template engine.","apache=template=engine"
"com.github.axet","wget","wget java single / multithread download library","github"
"org.yaml","snakeyaml","YAML 1.1 parser and emitter for Java","yaml"
"org.seleniumhq.selenium","selenium-java","Selenium automates browsers. That's it! What you do with that power is entirely up to you.","testing=selenium=web"
"org.freemarker","freemarker","FreeMarker is a "template engine"; a generic tool to generate text output based on templates.","template=engine"
"io.netty","netty-common","Netty/Common","io=network=netty=socket"
"org.pegdown","pegdown","A Java 1.6+ library providing a clean and lightweight markdown processor","markdown"
"com.esotericsoftware","kryo","Fast, efficient Java serialization. This is the main Kryo artifact.","serialization"
"asm","asm","ASM Core","bytecode"
"org.osgi","org.osgi.service.component.annotations","OSGi Companion Code for org.osgi.service.component.annotations Version 1.4.0","service=annotations=osgi"
"org.springframework.shell","spring-shell","Spring Shell","shell=spring"
"com.liferay.portal","com.liferay.portal.kernel","Contains interfaces for the portal services. Interfaces are only loaded by the global class loader and are shared by all plugins.","portal"
"org.apereo.cas","cas-server-core-util","cas-server-core-util","server"
"org.springframework.security","spring-security-core","spring-security-core","security=spring"
"jaxen","jaxen","Jaxen is a universal XPath engine for Java.","xml=xpath"
"org.apache.avro","avro","Avro core components","apache=protocol=serialization=avro"
"io.dropwizard.metrics","metrics-json","A set of Jackson modules which provide serializers for most Metrics classes.","json=metrics=io"
"postgresql","postgresql","The PostgreSQL Driver JDBC4","database=postgresql=driver"
"org.mortbay.jetty","jetty","The core jetty server artifact.","webserver=server=jetty=web"
"commons-net","commons-net","Apache Commons Net library contains a collection of network utilities and protocol implementations.Supported protocols include: Echo, Finger, FTP, NNTP, NTP, POP3(S), SMTP(S), Telnet, Whois","ftp=network"
"org.jsoup","jsoup","jsoup is a Java library for working with real-world HTML. It provides a very convenient API for extracting and manipulating data, using the best of DOM, CSS, and jquery-like methods. jsoup implements the WHATWG HTML5 specification, and parses HTML to the same DOM as modern browsers do.","html=parser"
"xmlunit","xmlunit","XMLUnit compares a control XML document to a test document or the result of a transformation, validates documents, and compares the results of XPath expressions.","testing"
"org.scalacheck","scalacheck_2.10","scalacheck","scala=testing"
"com.eclipsesource.minimal-json","minimal-json","A Minimal JSON Parser and Writer","json"
"org.apereo.cas","cas-server-core-authentication","cas-server-core-authentication","server=authentication"
"org.eclipse.core","org.eclipse.core.runtime","Core Runtime","eclipse=runtime"
"org.scala-js","scalajs-library_2.11","Scala.js library","scala=scalajs=library"
"xalan","xalan","Xalan-Java is an XSLT processor for transforming XML documents into HTML,text, or other XML document types. It implements XSL Transformations (XSLT)Version 1.0 and XML Path Language (XPath) Version 1.0 and can be used fromthe command line, in an applet or a servlet, or as a module in other program.",""
"org.apache.felix","org.apache.felix.scr.annotations","Annotations for generating OSGi service descriptors.","annotations=apache=osgi"
"hsqldb","hsqldb","Lightweight 100% Java SQL Database Engine","database=hsql=embedded=sql"
"com.google.inject.extensions","guice-multibindings","Google Guice Extensions MultiBindings","google=extension=dependency-injection"
"org.apache.commons","commons-io","Commons-IO contains utility classes, stream implementations, file filters, and endian classes.","apache=io=commons"
"org.specs2","specs2-core_2.11","specs2-core","specs=testing"
"org.apache.thrift","libthrift","Thrift is a software framework for scalable cross-language services development.","apache=protocol=serialization=thrift"
"com.google.code.findbugs","annotations","Annotation the FindBugs tool supports","defect=google=annotations=analysis=metadata"
"org.apache.felix","org.apache.felix.scr","Implementation of the Declarative Services specification 1.4","apache=osgi"
"javax.activation","activation","The JavaBeans(TM) Activation Framework is used by the JavaMail(TM) API to manage MIME data","javax=specs=standard"
"org.apache.maven.plugin-testing","maven-plugin-testing-harness","The Maven Plugin Testing Harness provides mechanisms to manage tests on Mojo.","plugin=build=build-system=testing=maven=apache"
"org.apache.zookeeper","zookeeper","ZooKeeper server","apache=zookeeper=distributed=coordination"
"com.liferay.portal","com.liferay.portal.impl","Contains implementation for the portal services.","portal"
"org.onosproject","onos-api","ONOS API","api"
"org.specs2","specs2-core_2.12","specs2-core","specs=testing"
"de.dentrassi.eclipse.neoscada.utils","org.eclipse.scada.utils","Utility classes for use throughout the Eclipse SCADA project","eclipse"
"com.sun.jersey","jersey-client","Jersey Client","client=webservice"
"org.eclipse.jetty","jetty-util","Utility classes for Jetty","eclipse=webserver=server=jetty"
"org.bouncycastle","bcprov-jdk15on","The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 and up.","encryption"
"javax.persistence","persistence-api","Persistence API","persistence=standard=javax=api=specs"
"com.alibaba","fastjson","Fastjson is a JSON processor (JSON parser + JSON generator) written in Java","json"
"org.jmock","jmock","JMock 2 Core","mock=mocking=testing"
"org.apereo.cas","cas-server-core-configuration","cas-server-core-configuration","server=config"
"org.xerial","sqlite-jdbc","SQLite JDBC library","sqlite=jdbc=sql"
"com.esotericsoftware","reflectasm","High performance Java reflection using code generation","reflection"
"org.junit.jupiter","junit-jupiter-api","Module "junit-jupiter-api" of JUnit 5.","testing=junit=api"
"commons-digester","commons-digester","The Digester package lets you configure an XML to Java object mapping modulewhich triggers certain actions called rules whenever a particularpattern of nested XML elements is recognized.","config"
"com.sun.xml.bind","jaxb-impl","Old JAXB Runtime module. Contains sources required for runtime processing.","binding=xml"
"io.netty","netty-handler","Netty/Handler","io=network=netty=socket"
"com.esotericsoftware","minlog","Minimal overhead Java logging",""
"org.apache.karaf.features","org.apache.karaf.features.core","This bundle is the core implementation of the Karaf features support.","apache=osgi"
"com.typesafe.akka","akka-actor_2.12","Akka is a toolkit for building highly concurrent, distributed, and resilient message-driven applications for Java and Scala.","actor=akka=distributed=concurrency=typesafe"
"org.apache.maven","maven-compat","Maven2 classes maintained as compatibility layer.","build=build-system=maven=compatibility=apache"
"org.codehaus.groovy","groovy","Groovy: A powerful, dynamic language for the JVM","codehaus=groovy=jvm=language"
"com.fasterxml.jackson.datatype","jackson-datatype-joda","Add-on module for Jackson (http://github.com/FasterXML/jackson) to support Joda (https://www.joda.org/joda-time/) data types.","json"
"redis.clients","jedis","Jedis is a blazingly small and sane Redis java client.","redis=database=client"
"org.scoverage","scalac-scoverage-plugin_2.10","scalac-scoverage-plugin","plugin=code-coverage=coverage=analysis"
"org.scoverage","scalac-scoverage-runtime_2.10","scalac-scoverage-runtime","code-coverage=runtime=coverage=analysis"
"com.typesafe.scala-logging","scala-logging_2.11","scala-logging","logging=typesafe=scala"
"org.apache.karaf.system","org.apache.karaf.system.core","This bundle provides services to manipulate the Karaf container itself (system).","system=apache=osgi"
"org.apereo.cas","cas-server-core-services","cas-server-core-services","service=server"
"org.eclipse.core","runtime","Core Runtime","eclipse=runtime"
"com.sun.jersey","jersey-server","Jersey Server","server=webservice"
"org.jmock","jmock-legacy","JMock Legacy","mock=mocking=testing"
"velocity","velocity","Apache Velocity is a general purpose template engine.","template=engine"
"javax.servlet.jsp","jsp-api","JavaServer Pages(TM) API","standard=servlet=javax=jsp=api=specs"
"org.onosproject","onlab-misc","ONLab Misc",""
"org.onosproject","onlab-osgi","ONLab OSGi","osgi"
"org.scala-js","scalajs-test-interface_2.11","Scala.js test interface","testing=scala=scalajs=interface"
"de.dentrassi.eclipse.neoscada.base","org.eclipse.scada.core","Eclipse SCADA Core (Incubation)","eclipse"
"org.slf4j","slf4j-jdk14","SLF4J JDK14 Binding","logging=slf4j=bridge"
"com.sun.jersey","jersey-core","Jersey Core","webservice"
"org.apache.lucene","lucene-core","Apache Lucene Java Core","lucene=indexing=apache=full-text=index"
"com.googlecode.json-simple","json-simple","A simple Java toolkit for JSON","json"
"jline","jline","JLine","command-line=console=terminal=cli"
"org.easytesting","fest-assert","'Flexible' or 'fluent' assertions for testing","validation=assertion=quality"
"antlr","antlr","ANTLR","parser=compiler=generator"
"org.onosproject","onlab-rest","ONLab REST","rest"
"com.typesafe.akka","akka-testkit_2.12","Akka is a toolkit for building highly concurrent, distributed, and resilient message-driven applications for Java and Scala.","actor=akka=testing=distributed=concurrency=typesafe"
"io.netty","netty-all","Netty/All In One","network=socket=framework=netty=io"
"com.typesafe.akka","akka-slf4j_2.11","Akka is a toolkit for building highly concurrent, distributed, and resilient message-driven applications for Java and Scala.","actor=logging=akka=distributed=concurrency=typesafe=slf4j"
"com.google.inject.extensions","guice-assistedinject","Google Guice Extensions AssistedInject","google=extension=dependency-injection"
"org.bouncycastle","bcpkix-jdk15on","The Bouncy Castle Java APIs for CMS, PKCS, EAC, TSP, CMP, CRMF, OCSP, and certificate generation. This jar contains APIs for JDK 1.5 and up. The APIs can be used in conjunction with a JCE/JCA provider such as the one provided with the Bouncy Castle Cryptography APIs.",""
"javax.enterprise","cdi-api","APIs for CDI (Contexts and Dependency Injection for Java)","standard=dependency-injection=javax=api=specs"
"org.apache.hadoop","hadoop-client","Apache Hadoop Client aggregation pom with dependencies exposed","hadoop=apache=client"
"org.apache.hadoop","hadoop-mapreduce-client-core","Apache Hadoop MapReduce Core","mapreduce=hadoop=apache=client=parallel"
"org.glassfish.jersey.core","jersey-client","Jersey core client implementation","client=webservice"
"io.netty","netty-transport","Netty/Transport","network=socket=transport=netty=io"
"oro","oro","Oro","regexp"
"org.eclipse.core","resources","Core Resource Management","eclipse=resource=runtime"
"org.apache.poi","poi","Apache POI - Java API To Access Microsoft Format Files","apache=excel=spreadsheet"
"io.netty","netty-buffer","Netty/Buffer","network=socket=buffer=netty=io"
"org.springframework.security","spring-security-web","spring-security-web","security=spring=web"
"com.typesafe.akka","akka-testkit_2.10","Akka is a toolkit for building highly concurrent, distributed, and resilient message-driven applications for Java and Scala.","actor=akka=testing=distributed=concurrency=typesafe"
